ticker,name,sector,industry,index,country
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,SP500,US
FCX,Freeport-McMoRan,Materials,Copper,SP500,US
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,SP500,US
IT,Gartner,Information Technology,IT Consulting & Other Services,SP500,US
GE,GE Aerospace,Industrials,Aerospace & Defense,SP500,US
GEHC,GE HealthCare,Health Care,Health Care Equipment,SP500,US
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,SP500,US
GEN,Gen Digital,Information Technology,Systems Software,SP500,US
GNRC,Generac,Industrials,Electrical Components & Equipment,SP500,US
GD,General Dynamics,Industrials,Aerospace & Defense,SP500,US
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,SP500,US
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,SP500,US
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,SP500,US
GILD,Gilead Sciences,Health Care,Biotechnology,SP500,US
GPN,Global Payments,Financials,Transaction & Payment Processing Services,SP500,US
GL,Globe Life,Financials,Life & Health Insurance,SP500,US
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,SP500,US
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,SP500,US
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,SP500,US
HIG,Hartford (The),Financials,Property & Casualty Insurance,SP500,US
HAS,Hasbro,Consumer Discretionary,Leisure Products,SP500,US
HCA,HCA Healthcare,Health Care,Health Care Facilities,SP500,US
DOC,Healthpeak Properties,Real Estate,Health Care REITs,SP500,US
HSIC,Henry Schein,Health Care,Health Care Distributors,SP500,US
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,SP500,US
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",SP500,US
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",SP500,US
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,SP500,US
HON,Honeywell,Industrials,Industrial Conglomerates,SP500,US
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,SP500,US
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,SP500,US
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,SP500,US
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",SP500,US
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,SP500,US
HUM,Humana,Health Care,Managed Health Care,SP500,US
HBAN,Huntington Bancshares,Financials,Regional Banks,SP500,US
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,SP500,US
IBM,IBM,Information Technology,IT Consulting & Other Services,SP500,US
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,SP500,US
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,SP500,US
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,SP500,US
INCY,Incyte,Health Care,Biotechnology,SP500,US
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,SP500,US
PODD,Insulet Corporation,Health Care,Health Care Equipment,SP500,US
INTC,Intel,Information Technology,Semiconductors,SP500,US
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,SP500,US
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,SP500,US
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,SP500,US
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,SP500,US
INTU,Intuit,Information Technology,Application Software,SP500,US
